Name,Year,Target,shear_200_850,shear_500_850,shear_200_500,shear_300_800,shear_850_1000,RH_avg,SST_avg,ROCI,v_0,Lat,RMW
HARVEY,2005,0,20.09463805267334,9.877423781356812,13.8863796685791,13.584952441635131,5.373486887168884,73.80664825439453,27.452050781250023,200.0,50.0,31.6,38.40338396600164
IRENE,2005,0,40.71153702667236,14.953159044265748,31.91219518035889,26.746152523803712,7.102831765213013,68.2359390258789,27.854577636718773,175.0,80.0,36.6,18.282899685011294
KATRINA,2005,1,27.357326788482663,15.737967648925782,23.68367799942017,22.055380912475584,10.23663272453308,83.12269592285156,30.082666015625023,150.0,65.0,25.4,18.43886922968666
DENNIS,2005,1,26.352116422576906,15.08354631072998,24.177659349975585,15.303785865325928,9.813085208892822,81.74451446533203,28.9807067871094,180.0,50.0,14.7,27.59318911503293
ARLENE,2005,0,24.423429304351806,10.817624502716065,20.8472231477356,21.7951384173584,8.389722783966064,79.9288330078125,27.733819580078148,175.0,50.0,23.0,29.79757144466945
TAMMY,2005,0,27.223288482055665,12.71581028251648,20.76324459411621,27.874491640319825,8.924645092926026,79.80084991455078,28.494927978515648,180.0,35.0,27.3,46.51984115817331
NATE,2005,0,40.55654532867432,19.45059423248291,28.194120307159423,36.45609840270996,12.49250826637268,76.52693176269531,28.162377929687523,200.0,75.0,30.5,22.784154779891676
OPHELIA,2005,0,46.423928755493165,15.506005651473998,40.75361065093994,25.51237723114013,15.455531576538084,74.416748046875,27.791375732421898,150.0,70.0,31.7,17.661956765760646
PHILIPPE,2005,0,37.13217942657471,24.37490448989868,23.15370160293579,30.93628953125,7.137929113197327,81.39906311035156,29.378350830078148,150.0,65.0,17.2,16.867533895826064
STAN,2005,0,25.84409261062622,13.418217909088137,17.184391224975585,21.32001938293457,10.522854236679075,84.8789291381836,29.1115661621094,200.0,55.0,19.8,30.463170478738842
JOSE,2005,0,21.422430173339844,10.599332354812622,20.33313929534912,16.045324224090578,8.072715376586913,88.14599609375,29.717401123046898,100.0,35.0,19.5,20.821344844885928
MARIA,2005,0,34.65702088592529,15.15782768737793,28.21176839065552,22.77056578857422,8.11073661529541,81.60147857666016,28.08785400390628,150.0,85.0,31.5,13.54560735228982
